student_ID,course_ID,teacher_ID,date_ID,percentage_of_points,group_ID
271,1,11,30,0.96,10
272,1,11,30,0.04|0.52,10
273,1,11,30,0.16|0.87,10
274,1,11,30,0.74,10
275,1,11,30,0.5,10
276,1,11,30,0.09|0.6,10
277,1,11,30,0.88,10
278,1,11,30,0.18|0.24,10
279,1,11,30,0.02|0.83,10
280,1,11,30,0.4,10
281,1,11,30,0.54,10
282,1,11,30,0.08|0.33,10
283,1,11,30,0.86,10
284,1,11,30,0.75,10
285,1,11,30,0.6,10
286,1,11,30,0.45,10
287,1,11,30,0.74,10
288,1,11,30,0.32,10
289,1,11,30,0.98,10
290,1,11,30,0.84,10
291,1,11,30,0.05|0.78,10
292,1,11,30,0.97,10
293,1,11,30,0.62,10
294,1,11,30,0.99,10
295,1,11,30,0.61,10
296,1,11,30,0.58,10
297,1,11,30,0.8,10
298,1,11,30,0.45,10
299,1,11,30,0.25|0.37,10
300,1,11,30,0.32,10
301,1,11,30,0.88,11
302,1,11,30,0.44,11
303,1,11,30,0.37,11
304,1,11,30,0.71,11
305,1,11,30,0.38,11
306,1,11,30,0.23|0.38,11
307,1,11,30,0.53,11
308,1,11,30,0.31,11
309,1,11,30,0.93,11
310,1,11,30,0.44,11
311,1,11,30,0.67,11
312,1,11,30,0.75,11
313,1,11,30,0.75,11
314,1,11,30,0.81,11
315,1,11,30,0.89,11
316,1,11,30,0.07|0.39,11
317,1,11,30,0.16|0.93,11
318,1,11,30,0.89,11
319,1,11,30,0.5,11
320,1,11,30,0.54,11
321,1,11,30,0.32,11
322,1,11,30,0.48,11
323,1,11,30,0.79,11
324,1,11,30,0.2|0.2,11
325,1,11,30,0.61,11
326,1,11,30,0.03|0.31,11
327,1,11,30,0.77,11
328,1,11,30,0.72,11
329,1,11,30,0.53,11
330,1,11,30,0.47,11
331,1,11,30,0.52,12
332,1,11,30,0.49,12
333,1,11,30,0.29|0.44,12
334,1,11,30,0.54,12
335,1,11,30,0.62,12
336,1,11,30,0.77,12
337,1,11,30,0.02|0.56,12
338,1,11,30,0.31,12
339,1,11,30,0.96,12
